review,sentiment
"I read the book before seeing the movie, and the film is one of the best adaptations out there. Very true and faithful to the book. Sean Penn and Sarandon are amazing. Robbins is a talented filmaker and I wish he would add more to his repetoire. He made the film very haunting and intentionally slow-paced to add depth. An especially brilliant bit of filmaking was the reflection of the victims appearing in the glass of the execution room at the very end.",positive
"Shocking, well-made chiller is an undervalued tale of atrocious murder and evil forces.<br /><br />Small town doctor tries to discover who, or what, is committing a series of violent sexual murders.<br /><br />Incubus is a tight mystery, with some horrific murder sequences, that builds to an off-beat and eerie climatic twist. The murder scenes are intense and gory, so this isn't a film for the squeamish! The direction of John Hough, along with a bizarre music score, combine to create a dark atmosphere of dread that runs through out the film. It also carries a kind of Gothic vibe as well. Nice filming locations and some stylish camera work also highlight.<br /><br />The cast isn't bad either. The great John Cassavetes does a solid performance as the new doctor in town. Also good are the performances of Kerrie Keane as the local reporter, Helen Hughes as the town historian, and Duncan McIntosh as a tormented psychic teen.<br /><br />All around Incubus is a forgotten horror film that needs to be re-discovered and re-evaluated.<br /><br />*** out of ****",positive
"Plot = Melissa is a new girl in town, she's fifteen years old and her birthday is coming up in one week. Since Melissa is beautiful, every boy in town wants to hook up with her, but the few that manage to catch her interest mysteriously die.<br /><br />To be honest the real reason I wanted to watch this film is because Dana Kimmel of Friday The 13th pt 3 was in it which isn't a proper reason why to rush out and see a movie. When I started watching it I realized that ""Sweet Sixteen"" isn't a very good slasher, it's really dull and boring and just doesn't go anywhere. After over an hour, only three murders have occurred and the story hasn't really developed in any possible way.<br /><br />The movie is nicely shot with quite nice photography and good directing but just as with many other slasher flicks from the 80s, the movie suffers from being too dark at times. The acting is actually pretty good though and Melissa's character is easy to sympathize with, even though she's a complete slut.<br /><br />The story line isn't completely rubbish but it's just way too dull to keep you interested, the only things that kept me interested was Melissa she was stunning and Dana Kimmel whose really sweet and cute in this movie.<br /><br />All in all pretty dull slasher flick that doesn't go anywhere I'd definitely wouldn't recommend it to Slasher fans.",negative
"Swedish action movies have over the past few years evolved into something that imitate American hardened action movies like ""Heat"" but with a low budget. This movie follows the same prescription as ""Noll Tolerans"" and ""Livvakterna"". However, it is obvious that they are trying too hard to make a cool and tough movie.<br /><br />The story has been seen before, the dialogue feels artificial and the acting is very poor, especially from the main actress. The movie tries to paint a picture of hard-boiled military-like robbers with no remorse at all and a female investigator who has completely lost it with problems of the past but at the same time acts completely rational. It does not succeed very well.<br /><br />The bluish-cast photo style does not seem fresh anymore, and it is not even done well in this picture. Only a very few scenes actually look good. Also, the sound is quite weird and it sounds like a lot of the actual dialogue is recorded afterward.<br /><br />The main quality of this movie is Stefan Sauk, though not making a convincing portrait of a SWAT-team leader, has some really funny lines. Also, the music is quite well.",negative
"First off, I have to say that I loved the book Animal Farm. I read it with my 9th grade class, and it was great. We also decided that watching the movie would be beneficial. The movie was so disappointing to me. The movie cuts out some characters, and misses a lot of the main points of the book. It skips around a lot, and doesn't explain anything in detail. If someone was watching this movie without having first read the book, they would be confused. The most disappointing thing in this movie to me, was the ending. The ending in the book was the most powerful, and in the movie, they changed it! It was supposed to be the pigs and men in an alliance and sort of ""melting"" together, but instead, the movie made it seem like the animals were going to rebel against the pigs. To sum up, I don't think that this movie captured the real meaning that Orwell portrayed in his book.",negative
"For me,this is one of the best movies i ever saw.Overcoming racism,struggling through life and proving himself he isn't just an ordinary ""cookie"" ,Carl Brashear is an amazing character to play ,who puts Cuba in his best light,best performance in his life.De Niro,who is a living legend gives THAT SOMETHING to the movie.Hated his character in movie,but he gives so much good acting to this film,great performance.And appearance of beautiful Charlize was and as always is a big plus for every movie. So if you haven't seen this movie i highly recommended for those who love bravery,greatness who seek inspiration.You must look this great drama. My Vote 9/10.",positive
"my friends and I are always on the lookout for chuck norris films to just bash and make fun of. One of our favorites so far is Lonewolf. i went to a wal-mart Christmas shopping and i came across this movie in the 5.99 bin. i had to get it. i had high hopes for this movie and although being absolutely hilarious at times, we agreed that bells of innocence is the worst movie we've ever seen, made, produced, thought up, etc... who the hell would think this is a good idea. not only is it confusing at times, but the acting is just hard to watch. the man who plays oren has acting i can compare to my own vomit, and chuck took a dive on this one, he's not the greatest actor, but this was terrible. and what kind of names are oren, conrad and jux........ jux. come on people. if you honestly thought this movie was at all watchable, great for you because it was hard for me and i seriously had a headache and stomach pains after watching it. I'm telling you now if you haven't seen this movie, DON'T!!. For the love of god please do not subject yourself to such a horrible 90 minutes of your life.",negative
"I was expecting a little something from ""K-911"", I mean it did look like a cute movie that I could get into. I always did love the dog comedy movies. But it looked like it was supposed to be Jame's movie, not Jerry Lee's. The plot was pretty lame and the two love interests really didn't have chemistry to begin with. Not to mention that James seemed to have a total sexist view in the movie despite the fact the writer wasn't going in that direction. James just really ticked me off for more than half the film. The dogs were the true stars and that's pretty sad that they out shined the actors.<br /><br />So, I'm glad it's not just me on IMDb who agrees that this was a pretty stupid movie. But hopefully, James will realize it was his brother Jim who was the talented one, no offense, but not everyone can be their star sibling. Don't you wish Ashlee Simpson would take that same advice? :D <br /><br />3/10",negative
"This is one of Barbara Stanwyck's earlier films and it sure does have an unconventional theme. She's making money by dancing with men at a dance hall. She really doesn't like the work, but it's a living. Her boyfriend seems like a pretty nice guy, but she's also pursued by rich guy Ricardo Cortez. Well, after marrying, it turns out her ""nice guy"" is a thieving, womanizing weasel and rich Cortez turns out to be a heck of a guy. By the end of the film, Barbara simply has had enough, as any SANE woman would walk from this horrid marriage.<br /><br />In the 1920s and early 30s, Hollywood did pretty much anything it wanted and some of their films had themes or scenes that would surprise many today--such as nudity, adultery and bad language. While TEN CENTS A DANCE isn't a blatant example of this morality, it does have a theme that never would have been allowed after the toughened Production Code was created and enforced starting in 1934. In some ways the Code was great--after all, parents didn't need to worry about what their kids saw in films (such as nudity in BEN HUR, 1925). However, it also tended to sanitize some of the movies far too much--and there is no way this particular film could have been made and approved because it tends to glorify divorce--a serious no-no 1934 and thereafter. This is really a shame, as I don't think TEN CENTS A DANCE was bad at all to discuss this--especially since the star (Barbara Stanwyck) was married to a philandering thief. Even so, allowing the film to end with her divorcing him and marrying a man who himself was twice divorced just couldn't have been.<br /><br />Overall, the film is interesting and thought-provoking. Plus, it was well-paced and suited its relatively short run time. Give this one a look.<br /><br />FYI--Sadly, Ricardo Cortez was actually NOT Hispanic but changed his name because of possible prejudice because he was Jewish. He was an excellent leading man of his time, but today is all but forgotten.",positive
"I saw this one at Sundance, and I can't figure out why it won the directing award. It was painfully slow and literally colorless. It's the type of movie that is only appreciated by film fest snobs who think any movie that a lot of people like must be beneath them.<br /><br />The jury at Sundance this year seemed to be making a conscious effort to reward the underdog, ultra-low-budget films. That's all well and good, but this wandering, dragging mess looks like a home movie. Mini-DV shot in a snow-covered gray winter results in a drab look for a drab movie.<br /><br />Certain motifs (snakes) are beaten to death in spite of the fact that they add nothing to the story and make no sense as symbols.<br /><br />Now, it wasn't all bad. Vera Farmiga is phenomenal in her role as a mother with a drug problem. She will be going places, and she deserves it. Her co-star Hugh Dillon also does a fine job. Frankly, there are many fine moments in this movie, but they just don't fit together very well.",negative
"That's how Burt Reynolds describes this film, which happens to be his best ever. He plays Tom Sharky, a vice detective who's on the trail of an international mobster (Vittorio Gassman) and the man he's financing to be the next governor of Georgia (Earl Holliman). In the novel by William Diehl, the story is more complex because the guy's running for president. This is a very long movie that feels more like three hours instead of two. The filming in downtown Atlanta and the Peachtree Plaza hotel sets the mood just right for the story. Reynolds doesn't do much laughing in this one compared to his comedy films. He's very serious here, especially in the beginning of the movie because he gets demoted for a dope bust that goes wrong. At times though, the movie plays more like a voyeuristic drama than a crime film with Burt trying to get close to the mobster's woman. Only towards the end of the film does the violence get cranked up that leads to the bang bang climax. Just like the great jazz score in DIRTY HARRY by Lalo Schifrin, Sharky's Machine features an excellent urban jazz soundtrack with many guest stars including Chet Baker, Julie London, Flora Purim & Buddy De Franco, The Manhattan Transfer, Doc Severinson, Sarah Vaughan and Joe Williams. Al Capps handles the score with magic. This movie has become one of the best crime dramas ever. Check it out.<br /><br />Score, 8 out of 10 Stars",positive
"Bill and Ted's bogus journey is possible the most excellent film I have ever watched. Though the acting and scenery etc is poor, who cares. The story line is brilliant and the jokes and words they come up with are most excellent, the ideas are great as well. I recommend anyone to see this classic. The best part is obviously when they 'melvin' death, i was cracking up for 10 minutes and missed the next part of the film. This is so much better then the first one, which was great as well. Possibly the funniest movie of all time!!!!! I think the best parts of the film however, are when Bill and Ted shout excellent and play the guitar solo, it was hilarious. Rock on Bill, Ted and Eddie Van Halen, bring out a 3rd film!!",positive
"After I couldn't ignore the hype about the show, I started watching season one and it struck me as really good and I was hooked.... for about 5 episodes, then it started to spiral downwards. Why? First, Ethan Suplee is scripted to act as a complete idiot confirming that very obviously by spewing out semi-random stuff in great expectations of it somehow becoming the next best joke.<br /><br />Jaime Pressly's got stunning looks, but if she thinks stretching lips to explore parts of the face to which they normally never go to and making strange grimaces to accentuate everything she says is hilarious, she's way off track. Maybe she thought her character would be too flat, faded and she wanted to make it colorful and spicy, but made a flood of colors, overkill of spices and screams out loud for attention and it hurts my eyes, ears and intellect.<br /><br />I really, really wanted to love this show, like I said, the premise is great, (comes from the same shelf as The Fabulous Destiny of Amelie Poulain) and Jason Lee is doing a pretty good job here, along with some of the other actors but there is no way no how I would get 'sucked in' and forget that this is just a show, because Pressly's and Suplee's surreal, extreme characters abruptly wake me when they show up. It's worth to note that their characters and acting would be fine if this wasn't a 70 something-part series and if they didn't get that much screen time.",negative
"This might be the WWE's 2nd best PPV of the year after Wrestlemania it was a good suprise! John Cena had an excellent match in which he upset Chris Jericho. Jeff Hardy retained his IC title in a short sloppy match with Willam Regal. Bubba & Spike Dudley won a fairly violent tables match over Benoit & Guerrero. Jamie Noble had a really good match with Kidman which was suprising to me. Booker T defeated The Big Show in a no dq match, at one point Booker T gave the scissors kick to Big Show and sent him right through the table. In a stupid decision by the WWE Christian and Lance Storm, the jealous anti-americans defeated Hogan and Edge with a lot of help from Test and Jericho. RVD and Brock had the match of the night it was filled with great high spots and RVD got to retain his ic title through a DQ so I was happy he kept the title. Triple H also signed with Eric Bischoff and Raw which means little to nothing. And in the main event the Rock became the first ever 7-time WWE world champion defeating both Kurt Angle & Undertaker in a triple threat match. Overall this is probably the WWE's 2nd best PPV of 2002! 7/10",positive
"It was probably just my DVD---but I would not recommend that anyone try to watch this picture on a DVD.<br /><br />I had to turn up the volume on my TV to the highest possible level, in order to hear about 80 percent of the dialog. Some of the talking still remained sub-audible. If you're from Scotland, you might have a chance, albeit a slim one.<br /><br />Peoples voices were drowned out by nearly all ambient sounds, including unwrapping a package, footsteps, even puffing on a cigarette. <br /><br />With the volume turned up to a level at which voices can be heard, I can guarantee that at least one of your neighbors will phone the police when the scene changes to a loud environment, such as a disco. And that you will injure yourself diving for the remote to turn it back down.<br /><br />There is art and there is art, even in the field of audio mixing. But this effort, in a time of war, would meet international criteria to be classified as an atrocity.<br /><br />After about a half hour, I gave up, having seen nothing else redeeming in the picture, either.",negative
"I still wonder why I sat through this entire thing. It only had about 3 minutes of actual entertainment, the rest of it was just a total bore. The acting isn't that great and the action scenes are soooo cheesy it's not even funny. I kinda wish I could say something good about this film but I can't think of anything right now. There probably was somethings in it some can enjoy but the ending of it is gotta be the dumbest idea ever. What type of person would get a little toy remote controlled helicopter with a burned in machine gun in it to assassinate the President? This idea could have never been done in the first place let alone have anyone dumb enough to try it, I guess the writer must have been to obsessed with the toy car scene in The Dead Pool but actually tried to make this look serious.",negative
"I have just watched this movie on DVD late this morning and was so disappointed that even thought it was a good joke for the audience. In other words - the creators planed to make comedy not drama. Howsoever, at the end I realized that Mr. Tony Giglio was earnest about this movie. It's a pity because: the dialogue is ridiculous, the acting is poor and lifeless, the story is a fishy tale! Poor Ryan Phillippe - despite of his efforts his character in the movie remains probably his worst performance! What to say for Jason Statham - lack of all kinds of skills to develop the role which is an imaginary fiction... For this reasons I vote: 3/10",negative
"I got this movie from eBay mainly because I'm gay and I love Til Schweiger. However, it's one of those movies that, when you watch it a second time, you never say to yourself, ""Hmm. I forgot about this boring part. I'll go make popcorn."" It doesn't have that part. It's a very fluid and constantly interesting film. And, yes, Til Schweiger is worth it, if nothing else. But, it's a great movie even for straight guys.",positive
"Unlike another user who said this movie sucked (and that Olivia Hussey was terrible), I disagree.<br /><br />This movie was amazing!!!!!! Olivia Hussey is awesome in everything she's in! Yeah she may be older now, because many remember her from Romeo and Juliet, but she's wonderful! <br /><br />This story line may be used quite often, but it's a unique movie and I'll fight back on anyone who disagrees! I enjoyed this movie just as much as I have any other Olivia Hussey movie. Olivia's ""my girl"" and I love her work.<br /><br />I saw this for the first time on Saturday (4/14/07) and fell in love with it. Not only because's it's an Olivia movie, but because of it's unique story line and wonderful direction.",positive
"I think they really let the quality of the DVD production get away from them. I rented this DVD from 2 movie stores and the second time I finally got it to play on the 3rd DVD player I tried.<br /><br />Anyone else have this issue? It's really hard to give the film an un-biased review after going through such a hassle to play it. For one, I've never seen a Finnish horror film before so I was sort of bummed that the movie was done in English. Also since it's never made clear what is wrong with Sarah, she just came off as retarded and therefore I really just hoped someone would shoot her in the face and make all the horrific happenings go away.",negative
"This is a tongue in cheek movie from the very outset with a voice-over that pokes fun at everything French and then produces a rather naif but very brave hero in Fanfan La Tulipe. Portrayed by the splendid Gerard Philippe, the dashing young man believes utterly in the fate curvaceous Lollobrigida foretells - notably that he will marry King Louis XV's daughter! Problem is, La Lollo soon find outs she too is in love with Fanfan...<br /><br />Propelled by good sword fights, cavalcades, and other spirited action sequences the film moves at a brisk pace and with many comic moments. The direction is perhaps the weakest aspect but the film is so light and takes itself so un-seriously that I could not give those shortcomings a second thought. Look out for Noel Roquevert, a traditional heavy in French films, trying to steal La Lollo, making himself a nuisance, and feeding the script to the fortune teller that reads La Lollo's hand! And what a gem Marcel Herrand is as the megalomanous and lust-driven King Louis XV! That is not all: So many beautiful women in one film makes me wish I were in France and on the set back in 1952! The film may have come out that year but its verve, cheek, superb narration, immaculate photography and the memorable Gerard Philippe ensure that it remains modern and a pleasure to watch. I would not hesitate to recommend it to my grandchildren let alone to anyone who loves movies in general and swashbucklers in particular! Do see it!",positive
"Good story and excellent animation. The influence of Frazetta and Bakshi are obvious, and that's a good thing. Anyone that enjoys Conan the Barbarian or the game Dungeons and Dragons should enjoy it. The battle between good and evil is clear cut even though it may appear that at times our hero is neutral. Most often in fantasy movies Elves are usually portrayed as having white skin and blond hair and goblins and orcs have dark skin and hair. Anyone familiar with Frazetta's, Bakshi's, or even Tolkien's work know they are not racist. Anyone that enjoys Fantasy movies should like this movie. It is not for young children due to violence and sexual innuendo. The casting was well done and the scenes and music are first rate. I hope someone puts this gem on DVD soon. I consider myself lucky to have a VHS copy in good condition.",positive
"This entire movie is worth watching just for the magnificent final moment - its the best ending of any movie I've ever seen. Perfect, beautiful, funny, simply wonderful.<br /><br />I found this movie delightful, even with it's French taking-itself-too-seriously deep meanings thing going on. I loved it - it's a great love story. And I loved the way Algerians were woven in - and by the way, the music during the final credits is great. I want the CD!",positive
"Everybody just seems to be raving about the subject, and not really noticing how the movie was made. The deaf, mute guy is fine, the underdog wins - that's good, the cricket aspect is great, but the movie is average overall. I think it could be made much much better than it is.<br /><br />The plot is too predictable for a movie that is not based on a real life event. I'm sure the movie could have been made more interesting. The songs are just stuffed in there, and I had to literally forward the scenes where the same thing would be shown from different angles.<br /><br />Good acting, though. Watchable.",negative
"Winchester '73 is a great story, and that's what I like about it. It's not your everyday western--it uses a rifle, which passes hands from various characters--as a mechanism for telling the story about these people. Rock Hudson plays an indian chief, Jimmy Stewart plays a great leading man with heart and strength, and Shelly Winters plays a gal who has to cope with the realities of her husband and the wild west. It's important to note for those politically correct types--they kill a lot of indians in this movie without remorse. By today's standards, it's still pretty violent. But it's a great story and worth watching. Enjoy!",positive
"If it were possible to distill the heart and soul of the sport--no, the pure lifestyle--of surfing to its perfect form, this documentary has done it. This documentary shows the life isn't just about the waves, but it's more about the people, the pioneers, and the modern day vanguard that are pushing the envelope of big wave further than it's ever been.<br /><br />Stacy Peralta--a virtual legend from my early '80s skateboarding days as a SoCal teen--has edited reams of amazing stock and interview footage down to their essence and created what is not just a documentary, but a masterpiece of the genre. When his heart and soul is in the subject matter--and clearly it is here--his genius is fraught with a pure vision that doesn't glamorize, hype, or sentimentalize his subject. He reveres surfers and the surfing/beach lifestyle, but doesn't whitewash it either. There is a gritty reality to the sport as well.<br /><br />There is so much that could be said about this documentary, about the surfers, the early history of the sport, and the wild big wave surfers it profiles. Greg Noll, the first big wave personality who arguably pioneered the sport; Jeff Carter, an amazing guy who rode virtually alone for 15 years on Northern California's extremely dangerous Maverick's big surf; and, the centerpiece of the documentary, Laird Hamliton, big wave surfing's present day messiah.<br /><br />There is tremendous heart and warmth among all these guys--and a few girls who show up on camera--and a deep and powerful love for surfing and the ocean that comes through in every word. I found the story of how Hamilton's adopted father met him and how Hamilton as a small 4- or 5-year old boy practically forced him to be his dad especially heartwarming (and, again, stripped of syrupy sentimentality).<br /><br />If you like surfing--or even if you don't--this is a wonderful documentary that must be watched, if only because you're a student of the form or someone who simply appreciates incredibly well-done works of art.",positive
"I must admit, out of the EROS MOVIE COLLECTION, this has to be the one that I love the most as well as one other that I have also reviewed. The story is something that really keeps you watching. A lot of the EROS films have a plot that looks like a hammer broke it in pieces before production when you watch it. All centering around sex, and who can get with how many different people come the end of the film. And oh dear god, never watch one of these films when someone pulls out a gun. It does not work that it is almost laughable, but you do not want to waste the energy to do so.<br /><br />""Losing Control"" is exactly as its name comes on. The protagonist, the leading character (the wonderfully talented and beautiful Kira Reed). The control is the control a person has over their senses, their body and feelings. And one man changes everything for her, makes her a different woman almost. But the mirror is shattered at the same time. This makes for a great film that I wish I had come up with first!!<br /><br />10/10",positive
